id,itemId,source,comment,todo,block,blockEmpty,empty,mixed,single,total,name,createdAt,updatedAt
14229365,355248374,1,0,0,0,0,0,0,0,1,fieldListSelector.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229366,355248380,1,0,0,0,0,0,0,0,1,fieldsScreen.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229367,355248383,95,11,0,0,0,19,0,11,125,fileUpload.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229368,355248387,1,0,0,0,0,0,0,0,1,filterConditionItem.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229369,355248391,1,0,0,0,0,0,0,0,1,filterFactory.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229370,355248393,1,0,0,0,0,0,0,0,1,filterFactory.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229371,355248395,1,0,0,0,0,0,0,0,1,filterManager.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229372,355248397,1,0,0,0,0,0,0,0,1,filterManager.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229373,355248400,31,11,0,5,0,10,4,6,48,flightDetails.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229374,355248404,40,8,0,8,0,7,0,0,55,flightRequestFilter.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229375,355248408,1,0,0,0,0,0,0,0,1,flsReporterTable.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229376,355248410,1,0,0,0,0,0,0,0,1,flsReporterTablePo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229377,355248412,1,0,0,0,0,0,0,0,1,flsReporterTableInformationModal.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229378,355248414,1,0,0,0,0,0,0,0,1,flsReporterTableInformationModalPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229379,355248416,1,0,0,0,0,0,0,0,1,flsReportetrTableNoContent.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229380,355248420,1,0,0,0,0,0,0,0,1,gaLoadingPage.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229381,355248425,1,0,0,0,0,0,0,0,1,generalSettingsTab.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229382,355248427,1,0,0,0,0,0,0,0,1,generalSettingsTab.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229383,355248430,1,0,0,0,0,0,0,0,1,genericErrorDialog.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229384,355248434,1,0,0,0,0,0,0,0,1,gitHubAuth.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229385,355248438,1,0,0,0,0,0,0,0,1,globalSearch.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229386,355248440,1,0,0,0,0,0,0,0,1,globalSearchPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229387,355248443,1,0,0,0,0,0,0,0,1,globalSearchForm.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229388,355248445,1,0,0,0,0,0,0,0,1,globalSearchFormPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229389,355248447,1,0,0,0,0,0,0,0,1,globalSearchIcon.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229390,355248449,1,0,0,0,0,0,0,0,1,consts.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229391,355248451,1,0,0,0,0,0,0,0,1,globalSearchIndicateAdvanceSearch.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229392,355248453,1,0,0,0,0,0,0,0,1,globalSearchIndicateAdvanceSearchPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229393,355248456,1,0,0,0,0,0,0,0,1,globalSearchPageHeader.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229394,355248458,1,0,0,0,0,0,0,0,1,globalSearchPageHeaderPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229395,355248461,1,0,0,0,0,0,0,0,1,globalSearchResult.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229396,355248463,1,0,0,0,0,0,0,0,1,globalSearchResultPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229397,355248465,1,0,0,0,0,0,0,0,1,globalSearchResultTableData.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229398,355248467,1,0,0,0,0,0,0,0,1,globalSearchResultTableDataPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229399,355248469,1,0,0,0,0,0,0,0,1,globalSearchResultTableRow.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229400,355248471,1,0,0,0,0,0,0,0,1,globalSearchResultTableRowPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229401,355248473,1,0,0,0,0,0,0,0,1,globalSearchResultTableRowActions.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229402,355248475,1,0,0,0,0,0,0,0,1,globalSearchResultTableRowActionsPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229403,355248478,1,0,0,0,0,0,0,0,1,globalSearchTitle.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229404,355248481,1,0,0,0,0,0,0,0,1,gridManager.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229405,355248483,1,0,0,0,0,0,0,0,1,gridManager.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229406,355248486,1,0,0,0,0,0,0,0,1,hasOperationInProgressDialog.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
