id,name,max,remaining,createdAt,updatedAt
655306,HourlyPublishedPlatformEvents,250000,250000,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655307,HourlyPublishedStandardVolumePlatformEvents,100000,100000,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655308,HourlyShortTermIdMapping,100000,100000,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655309,HourlySyncReportRuns,500,500,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655310,HourlyTimeBasedWorkflow,50,50,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655311,MassEmail,5000,5000,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655312,MaxContentDocumentsLimit,30000000,29983792,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655313,MonthlyEinsteinDiscoveryStoryCreation,500,500,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655314,Package2VersionCreates,6,6,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655315,Package2VersionCreatesWithoutValidation,500,500,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655316,PermissionSets,1500,1408,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655317,PlatformEventTriggersWithParallelProcessing,5,5,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655318,PrivateConnectOutboundCalloutHourlyLimitMB,644,644,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655319,PublishCallbackUsageInApex,5242880,5242880,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655320,ScheduledFlowRunLimit,250000,250000,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655321,ScheduledPathRunLimit,250000,250000,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655322,SingleEmail,100,100,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
655323,StreamingApiConcurrentClients,2000,2000,2026-05-04T00:47:05.525Z,2026-05-04T00:47:05.525Z
