metadataName,scanName,itemName,id,metadataId,itemId,problem,line,ruleset,rule,priority,description,type,column,engine,url,name,label,createdAt,updatedAt
11855,12909,355237694,144983781,11855,355237694,18,6,Documentation,ApexDoc,3,Missing ApexDoc comment,class,19,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,AccountController.cls,AccountController,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237694,144983782,11855,355237694,19,7,Security,ApexCRUDViolation,3,Validate CRUD permission before SOQL/DML operation or enforce user mode,class,16,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation,AccountController.cls,AccountController,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237694,144983783,11855,355237694,20,16,Documentation,ApexDoc,3,Missing ApexDoc comment,class,19,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,AccountController.cls,AccountController,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237694,144983784,11855,355237694,21,17,Security,ApexCRUDViolation,3,Validate CRUD permission before SOQL/DML operation or enforce user mode,class,16,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation,AccountController.cls,AccountController,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237695,144983785,11855,355237695,22,5,Security,ApexSharingViolations,3,Apex classes should declare a sharing model if DML or SOQL/SOSL is used,class,1,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexsharingviolations,AccountLookupDataProvider.cls,AccountLookupDataProvider,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237695,144983786,11855,355237695,23,5,Documentation,ApexDoc,3,Missing ApexDoc comment,class,8,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,AccountLookupDataProvider.cls,AccountLookupDataProvider,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237695,144983787,11855,355237695,24,6,Documentation,ApexDoc,3,Missing ApexDoc comment,class,19,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,AccountLookupDataProvider.cls,AccountLookupDataProvider,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237695,144983788,11855,355237695,25,7,Performance,AvoidDebugStatements,3,Avoid debug statements since they impact on performance,class,9,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements,AccountLookupDataProvider.cls,AccountLookupDataProvider,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237695,144983789,11855,355237695,26,7,Best Practices,DebugsShouldUseLoggingLevel,3,Calls to System.debug should specify a logging level.,class,9,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel,AccountLookupDataProvider.cls,AccountLookupDataProvider,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237699,144983790,11855,355237699,27,5,Documentation,ApexDoc,3,Missing ApexDoc comment,class,8,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ActionDispatcherCreateRecord.cls,ActionDispatcherCreateRecord,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237699,144983791,11855,355237699,28,26,Documentation,ApexDoc,3,Missing ApexDoc comment,class,12,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ActionDispatcherCreateRecord.cls,ActionDispatcherCreateRecord,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237699,144983792,11855,355237699,29,30,Documentation,ApexDoc,3,Missing ApexDoc comment,class,16,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ActionDispatcherCreateRecord.cls,ActionDispatcherCreateRecord,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237699,144983793,11855,355237699,30,38,Documentation,ApexDoc,3,Missing ApexDoc comment,class,16,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ActionDispatcherCreateRecord.cls,ActionDispatcherCreateRecord,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237699,144983794,11855,355237699,31,45,Performance,AvoidDebugStatements,3,Avoid debug statements since they impact on performance,class,13,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements,ActionDispatcherCreateRecord.cls,ActionDispatcherCreateRecord,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
