id,connectedAppId,profileId,permissionSetId,createdAt,updatedAt,sfProfileId
260244,274497,577346,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577346
260245,274478,577341,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577341
260246,274496,577341,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577341
260247,274471,577341,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577341
260248,274500,577341,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577341
260249,274486,577341,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577341
260250,274510,,2706482,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,
260251,274482,,2706504,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,
260252,274480,577384,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577384
260253,274488,577384,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577384
260254,274517,577384,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577384
260255,274478,577384,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577384
260256,274483,577384,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577384
260257,274495,577384,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577384
260258,274496,577384,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577384
260259,274487,577384,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577384
260260,274469,577384,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577384
260261,274516,577384,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577384
260262,274514,577384,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577384
260263,274489,577384,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577384
260264,274486,577384,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577384
260265,274471,577384,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577384
260266,274500,577384,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577384
260267,274489,577381,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577381
260268,274506,,2706452,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,
260269,274507,,2706452,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,
260270,274478,,2706480,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,
260271,274478,,2706481,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,
260272,274477,,2706481,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,
260273,274471,577378,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577378
260274,274486,577378,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577378
260275,274500,577378,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577378
260276,274478,577378,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577378
260277,274496,577378,,2026-05-04T00:47:35.830Z,2026-05-04T00:47:35.830Z,577378
